                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.60039,                0.47341,                 1.0184,                0.99683,                      1,                  0.995,                 0.8718,                0.54196,                 0.3122,                 1.0855,              0.0011649,              0.0011649,              0.0011649
                     58,                0.62447,                0.54378,                  1.044,                0.99536,                      1,                  0.995,                0.90646,                0.41139,                0.29104,                0.95934,              0.0011602,              0.0011602,              0.0011602
                     59,                0.59511,                0.50441,                 1.0363,                0.98806,                0.99722,                  0.995,                0.91133,                0.42178,                0.28268,                0.98279,              0.0011555,              0.0011555,              0.0011555
                     60,                0.60013,                0.50708,                 1.0234,                0.99426,                      1,                  0.995,                0.89515,                0.41926,                0.28874,                 0.9873,              0.0011508,              0.0011508,              0.0011508
                     61,                0.56997,                0.50832,                 1.0282,                 0.9911,                0.97222,                0.97275,                0.87018,                0.40841,                0.29238,                0.95027,              0.0011461,              0.0011461,              0.0011461
                     62,                0.56242,                0.47717,                  1.014,                0.99809,                      1,                  0.995,                0.89886,                 0.4251,                0.27641,                0.96728,              0.0011413,              0.0011413,              0.0011413
                     63,                 0.5714,                0.47744,                 1.0041,                0.99183,                0.97129,                0.98201,                0.89101,                0.43994,                 0.2888,                0.98283,              0.0011366,              0.0011366,              0.0011366
                     64,                  0.589,                0.48674,                 1.0196,                0.99649,                      1,                  0.995,                0.89791,                0.41935,                0.25316,                0.96114,              0.0011319,              0.0011319,              0.0011319
                     65,                0.56307,                0.49143,                0.99802,                0.99502,                0.99632,                  0.995,                0.88708,                0.43714,                0.27464,                 1.0118,              0.0011272,              0.0011272,              0.0011272
                     66,                0.58509,                0.47744,                 1.0207,                0.98024,                0.96597,                0.98617,                0.85428,                0.49418,                0.33001,                 1.0251,              0.0011225,              0.0011225,              0.0011225
                     67,                0.56028,                 0.4707,                 1.0052,                0.99621,                      1,                  0.995,                0.91437,                0.42698,                0.28206,                0.99711,              0.0011178,              0.0011178,              0.0011178
                     68,                0.55998,                 0.4667,                  1.007,                 0.9978,                      1,                  0.995,                0.88469,                0.47908,                0.29609,                 0.9877,               0.001113,               0.001113,               0.001113
                     69,                0.55948,                0.47504,                 0.9999,                0.99625,                0.99982,                  0.995,                0.90786,                0.43515,                0.28377,                0.97178,              0.0011083,              0.0011083,              0.0011083
                     70,                0.54547,                0.44964,                 1.0116,                0.99676,                      1,                  0.995,                0.90073,                 0.4412,                0.27458,                 1.0215,              0.0011036,              0.0011036,              0.0011036
