                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.40506,                0.36342,                 1.0022,                0.98963,                 0.9671,                 0.9937,                0.89033,                0.56576,                0.29155,                 1.1399,              0.0012792,              0.0012792,              0.0012792
                     49,                0.39669,                0.37939,                0.99542,                 0.9923,                0.99506,                0.99495,                0.85566,                 0.5666,                0.27087,                 1.1234,              0.0012709,              0.0012709,              0.0012709
                     50,                0.40632,                0.36986,                 1.0037,                0.95012,                0.96256,                0.96998,                0.85225,                0.55214,                0.32248,                 1.1077,              0.0012627,              0.0012627,              0.0012627
                     51,                0.39941,                0.36286,                0.99721,                0.94554,                0.96878,                0.97356,                0.86794,                 0.5774,                0.27284,                 1.1417,              0.0012544,              0.0012544,              0.0012544
                     52,                 0.3898,                0.36593,                0.99739,                0.94831,                0.93447,                0.98899,                 0.8806,                0.57493,                0.30569,                 1.1256,              0.0012462,              0.0012462,              0.0012462
                     53,                0.39936,                0.35861,                  1.001,                0.96597,                0.96929,                0.97193,                  0.874,                0.56251,                0.26981,                 1.1408,              0.0012379,              0.0012379,              0.0012379
                     54,                0.38762,                0.35155,                0.98501,                0.92873,                0.98584,                0.99125,                0.86801,                0.54967,                0.29772,                 1.1058,              0.0012297,              0.0012297,              0.0012297
                     55,                0.39625,                0.35013,                0.99565,                0.94491,                0.96878,                0.96091,                0.85359,                0.56365,                0.27785,                 1.1516,              0.0012214,              0.0012214,              0.0012214
                     56,                0.38848,                0.36866,                 0.9922,                 0.9449,                0.96388,                0.97207,                0.87126,                0.56395,                0.25121,                 1.1215,              0.0012132,              0.0012132,              0.0012132
                     57,                0.38829,                0.34922,                0.99054,                0.94779,                0.96549,                0.97294,                0.87522,                0.56929,                0.28244,                 1.1403,              0.0012049,              0.0012049,              0.0012049
                     58,                0.38588,                0.35195,                 0.9868,                0.94622,                0.96878,                0.97267,                0.87576,                0.56649,                0.26904,                 1.1307,              0.0011967,              0.0011967,              0.0011967
                     59,                0.37959,                0.35459,                0.98405,                0.94027,                0.95408,                0.98338,                0.87329,                 0.5584,                0.31048,                  1.115,              0.0011884,              0.0011884,              0.0011884
                     60,                0.38936,                0.34375,                0.99213,                0.94438,                0.95983,                0.97317,                0.87529,                0.56428,                0.24369,                 1.1343,              0.0011802,              0.0011802,              0.0011802
                     61,                0.38812,                0.35017,                0.98889,                0.94833,                0.96356,                0.96835,                0.86176,                0.57252,                0.27062,                  1.115,              0.0011719,              0.0011719,              0.0011719
                     62,                0.38826,                0.33722,                0.99055,                0.94633,                0.96878,                0.97777,                0.88221,                0.57386,                0.25957,                 1.1285,              0.0011636,              0.0011636,              0.0011636
                     63,                0.39146,                0.33313,                0.99253,                  0.945,                0.96878,                0.96515,                0.85408,                0.59134,                0.29098,                 1.1716,              0.0011554,              0.0011554,              0.0011554
                     64,                0.39174,                0.35895,                0.99704,                0.94723,                0.96878,                0.97693,                0.88151,                0.57535,                0.26547,                 1.1286,              0.0011471,              0.0011471,              0.0011471
                     65,                0.37933,                0.34323,                0.98697,                 0.9492,                0.96878,                0.97623,                 0.8802,                0.56089,                0.25353,                 1.1183,              0.0011389,              0.0011389,              0.0011389
                     66,                0.36997,                0.33471,                0.97958,                 0.9475,                0.96878,                0.93235,                0.83394,                0.54945,                0.28111,                 1.1182,              0.0011306,              0.0011306,              0.0011306
                     67,                0.37137,                0.33148,                0.98745,                  0.975,                0.96623,                0.97351,                0.87671,                0.57757,                0.27779,                 1.1258,              0.0011224,              0.0011224,              0.0011224
                     68,                0.36872,                0.33911,                0.98119,                0.94263,                0.96723,                0.97601,                0.87498,                0.56977,                0.27906,                  1.138,              0.0011141,              0.0011141,              0.0011141
                     69,                0.37445,                0.32232,                0.98365,                0.94372,                0.96878,                0.97438,                0.88387,                0.55879,                0.24745,                 1.1166,              0.0011059,              0.0011059,              0.0011059
                     70,                0.38185,                0.34131,                0.98989,                0.96555,                0.97526,                0.98835,                0.86527,                0.54271,                0.33735,                 1.1123,              0.0010976,              0.0010976,              0.0010976
                     71,                 0.3765,                0.34383,                0.98729,                0.94576,                0.96878,                0.97999,                0.87847,                0.57329,                0.26691,                 1.1423,              0.0010894,              0.0010894,              0.0010894
                     72,                0.37919,                0.33149,                0.98103,                0.94854,                 0.9694,                0.97984,                0.88686,                0.57811,                0.25278,                 1.1432,              0.0010811,              0.0010811,              0.0010811
                     73,                0.37479,                 0.3441,                0.98619,                0.94457,                0.96707,                 0.9802,                0.86732,                0.56307,                0.28284,                 1.1201,              0.0010729,              0.0010729,              0.0010729
                     74,                 0.3654,                0.34353,                0.98157,                 0.9675,                 0.9683,                0.97407,                0.88201,                0.56733,                0.27799,                 1.1173,              0.0010646,              0.0010646,              0.0010646
                     75,                0.37337,                0.34168,                0.98018,                0.96092,                0.99189,                0.99375,                0.88996,                0.55065,                0.25546,                 1.1026,              0.0010564,              0.0010564,              0.0010564
                     76,                0.36906,                0.32555,                0.97457,                0.96793,                0.96979,                0.97451,                0.88212,                0.55733,                0.22731,                 1.1204,              0.0010481,              0.0010481,              0.0010481
                     77,                0.36674,                0.31627,                0.98137,                0.96211,                0.96881,                0.96026,                0.86105,                 0.5665,                0.23031,                 1.1258,              0.0010399,              0.0010399,              0.0010399
                     78,                0.36482,                0.32469,                0.98093,                0.96794,                0.97368,                0.97696,                0.87287,                0.56668,                 0.2309,                 1.1453,              0.0010316,              0.0010316,              0.0010316
                     79,                0.36618,                0.33578,                0.97293,                0.96249,                 0.9537,                0.97023,                0.86447,                0.58907,                0.25085,                 1.1509,              0.0010234,              0.0010234,              0.0010234
                     80,                0.36125,                0.30787,                0.98221,                  0.938,                0.96742,                 0.9726,                0.88085,                0.55859,                0.26726,                  1.105,              0.0010151,              0.0010151,              0.0010151
                     81,                0.35505,                0.31188,                0.97192,                0.95909,                0.95959,                0.97855,                 0.8812,                0.56582,                0.23601,                 1.1522,              0.0010069,              0.0010069,              0.0010069
                     82,                0.36729,                0.31951,                0.98345,                0.96915,                 0.9694,                0.97372,                0.88188,                0.54582,                0.23067,                 1.1021,             0.00099862,             0.00099862,             0.00099862
                     83,                0.35734,                 0.3047,                0.97624,                0.94368,                0.96816,                0.97754,                0.88433,                0.55886,                0.24621,                  1.104,             0.00099036,             0.00099036,             0.00099036
                     84,                0.36559,                0.33423,                0.98463,                0.94307,                0.96878,                0.97855,                0.88103,                 0.5731,                0.25949,                 1.1544,             0.00098211,             0.00098211,             0.00098211
                     85,                0.36184,                0.31844,                0.97614,                0.93333,                0.96878,                0.97452,                0.88013,                0.56503,                0.25221,                 1.1213,             0.00097386,             0.00097386,             0.00097386
                     86,                0.36041,                0.30881,                0.98231,                0.96471,                0.96878,                 0.9751,                0.88326,                0.56583,                0.22228,                 1.1267,             0.00096561,             0.00096561,             0.00096561
                     87,                0.35797,                0.31168,                0.97447,                 0.9483,                 0.9902,                0.98961,                0.87961,                0.56623,                0.28354,                 1.1333,             0.00095736,             0.00095736,             0.00095736
                     88,                0.34988,                0.32365,                0.97022,                0.94338,                0.96878,                0.96975,                0.87386,                0.55819,                 0.2576,                 1.1269,             0.00094911,             0.00094911,             0.00094911
                     89,                0.36651,                0.33703,                0.98163,                0.94628,                0.96807,                0.93834,                0.83783,                0.59165,                0.26202,                 1.1491,             0.00094085,             0.00094085,             0.00094085
                     90,                0.36147,                0.32236,                0.97955,                0.96163,                0.96478,                0.96642,                0.86946,                0.57878,                0.26487,                 1.1446,              0.0009326,              0.0009326,              0.0009326
                     91,                0.36137,                  0.316,                0.97773,                0.94911,                0.96806,                0.97623,                0.89249,                0.55017,                0.25124,                 1.0976,             0.00092435,             0.00092435,             0.00092435
                     92,                0.35193,                 0.3215,                0.96693,                0.94908,                0.96887,                0.95786,                0.86215,                0.56412,                0.26418,                 1.1349,              0.0009161,              0.0009161,              0.0009161
                     93,                0.35611,                0.32711,                0.97385,                0.95783,                0.96388,                 0.9617,                0.85616,                0.58092,                 0.2741,                 1.1752,             0.00090785,             0.00090785,             0.00090785
                     94,                 0.3501,                0.31584,                0.97146,                0.96667,                0.96908,                0.95754,                0.85766,                0.55818,                0.25901,                 1.1177,              0.0008996,              0.0008996,              0.0008996
                     95,                0.35616,                0.31408,                0.96774,                0.97176,                0.97368,                0.96558,                0.86733,                0.53853,                0.22966,                 1.1086,             0.00089134,             0.00089134,             0.00089134
                     96,                 0.3605,                0.29962,                0.97401,                0.97031,                 0.9696,                0.96045,                0.86836,                0.54712,                0.23551,                 1.1071,             0.00088309,             0.00088309,             0.00088309
                     97,                0.35386,                 0.2971,                0.97039,                0.94516,                0.96878,                0.95556,                0.84976,                0.58103,                0.28204,                 1.1411,             0.00087484,             0.00087484,             0.00087484
                     98,                0.35125,                0.30851,                0.96904,                0.96754,                0.99838,                 0.9925,                0.88734,                0.54069,                0.23042,                  1.097,             0.00086659,             0.00086659,             0.00086659
                     99,                0.35111,                0.30494,                0.97142,                0.96435,                 0.9653,                0.96927,                 0.8747,                0.56692,                0.23345,                 1.1611,             0.00085834,             0.00085834,             0.00085834
                    100,                0.35021,                0.29668,                0.97492,                0.93513,                0.96196,                0.94038,                0.84663,                0.55733,                 0.2665,                 1.1249,             0.00085009,             0.00085009,             0.00085009
                    101,                0.34665,                0.30892,                0.97321,                0.96939,                0.97004,                0.95925,                0.86449,                0.54359,                0.21947,                   1.14,             0.00084184,             0.00084184,             0.00084184
                    102,                0.34676,                0.30517,                0.96578,                0.97111,                0.97053,                0.95684,                0.86003,                0.55707,                0.21848,                 1.1342,             0.00083358,             0.00083358,             0.00083358
                    103,                0.33674,                0.30162,                0.96433,                0.97116,                0.97368,                0.97125,                0.87992,                0.57297,                0.22938,                 1.1553,             0.00082533,             0.00082533,             0.00082533
                    104,                0.34495,                0.30193,                0.96875,                0.97208,                  0.971,                0.95065,                0.86112,                0.54461,                0.25485,                 1.1158,             0.00081708,             0.00081708,             0.00081708
                    105,                0.34908,                 0.3237,                0.96886,                0.96839,                0.96902,                0.95213,                0.86069,                0.55819,                0.21803,                 1.1278,             0.00080883,             0.00080883,             0.00080883
                    106,                0.34261,                0.29903,                0.96624,                0.94609,                0.96912,                0.95024,                 0.8564,                0.56811,                0.24953,                 1.1604,             0.00080058,             0.00080058,             0.00080058
                    107,                0.34456,                0.30154,                0.96376,                      1,                0.96367,                0.97475,                0.87319,                0.60397,                0.25168,                 1.1677,             0.00079233,             0.00079233,             0.00079233
