                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    123,                0.52147,                0.42473,                0.99438,                0.99902,                0.95405,                0.99156,                 0.9062,                0.42057,                0.27702,                0.96324,             0.00099751,             0.00099751,             0.00099751
                    124,                0.50474,                0.42237,                0.98076,                0.98506,                0.96704,                0.98504,                0.91346,                0.41327,                0.26363,                 0.9607,             0.00099398,             0.00099398,             0.00099398
                    125,                0.52075,                0.42969,                0.98683,                0.99291,                0.96324,                0.99347,                0.89745,                0.40841,                0.27081,                 0.9203,             0.00099044,             0.00099044,             0.00099044
                    126,                 0.5347,                0.41652,                0.98519,                0.97531,                0.96386,                0.99331,                0.89733,                0.41482,                0.27964,                0.93429,              0.0009869,              0.0009869,              0.0009869
                    127,                0.55463,                0.44665,                0.99118,                0.99253,                0.98338,                0.99477,                0.90487,                0.39546,                0.25807,                0.92953,             0.00098337,             0.00098337,             0.00098337
                    128,                0.53318,                0.44451,                 1.0061,                0.98508,                0.98297,                  0.995,                0.89789,                0.41983,                0.27794,                0.94497,             0.00097983,             0.00097983,             0.00097983
                    129,                0.50426,                0.40079,                0.99689,                0.99447,                0.99398,                  0.995,                0.90265,                0.40155,                0.25691,                0.93748,             0.00097629,             0.00097629,             0.00097629
                    130,                0.51195,                0.42046,                0.98633,                0.99107,                  0.975,                0.99381,                0.89886,                0.42805,                0.27227,                0.96877,             0.00097276,             0.00097276,             0.00097276
                    131,                0.53733,                0.40748,                0.98895,                0.98414,                0.97086,                0.97185,                0.88358,                0.45664,                0.30967,                0.98782,             0.00096922,             0.00096922,             0.00096922
                    132,                0.53855,                0.44058,                0.99264,                 0.9849,                      1,                0.99447,                0.90384,                0.44098,                 0.2615,                0.98848,             0.00096568,             0.00096568,             0.00096568
                    133,                0.51008,                0.41501,                0.99233,                0.98564,                  0.975,                0.99162,                0.90656,                0.43612,                0.26201,                 0.9681,             0.00096215,             0.00096215,             0.00096215
                    134,                0.51227,                0.40447,                0.98198,                0.98914,                0.97358,                0.98774,                 0.8797,                0.48359,                0.28097,                0.98794,             0.00095861,             0.00095861,             0.00095861
                    135,                0.51547,                0.41552,                0.98171,                0.99584,                0.99806,                  0.995,                0.90013,                0.43382,                 0.2471,                0.96892,             0.00095507,             0.00095507,             0.00095507
                    136,                0.49747,                0.43137,                0.98071,                0.97652,                0.95085,                0.97643,                0.89432,                0.42075,                 0.3004,                 0.9602,             0.00095154,             0.00095154,             0.00095154
                    137,                0.50669,                0.40232,                0.98478,                0.98634,                 0.9636,                 0.9811,                0.89008,                0.43047,                0.26899,                 0.9763,               0.000948,               0.000948,               0.000948
                    138,                0.51454,                0.39966,                0.98458,                0.99189,                0.96969,                0.99375,                0.90945,                0.40724,                0.24996,                0.94044,             0.00094446,             0.00094446,             0.00094446
                    139,                 0.4901,                0.39166,                 0.9704,                0.98885,                0.97395,                0.99261,                0.91203,                0.40198,                 0.2464,                0.92624,             0.00094093,             0.00094093,             0.00094093
                    140,                0.50666,                0.41088,                0.98809,                  0.992,                0.97334,                0.99133,                0.90935,                0.42784,                0.25717,                0.93913,             0.00093739,             0.00093739,             0.00093739
                    141,                0.49617,                0.38497,                0.98695,                0.98807,                0.96662,                0.99043,                0.90462,                0.42957,                0.25905,                0.95651,             0.00093385,             0.00093385,             0.00093385
                    142,                0.50323,                0.41062,                0.99218,                0.96418,                0.96053,                0.98294,                0.90451,                0.41498,                 0.2743,                 0.9528,             0.00093031,             0.00093031,             0.00093031
                    143,                0.52052,                0.38854,                0.97569,                0.97824,                0.97647,                0.99449,                0.92478,                0.36912,                0.25168,                0.91367,             0.00092678,             0.00092678,             0.00092678
                    144,                0.50613,                0.40433,                0.98262,                0.98417,                0.97012,                 0.9934,                0.92416,                0.38598,                 0.2482,                0.94221,             0.00092324,             0.00092324,             0.00092324
                    145,                0.52603,                0.41892,                0.98229,                 0.9865,                  0.975,                0.99369,                 0.9173,                0.41389,                 0.2746,                   0.96,              0.0009197,              0.0009197,              0.0009197
                    146,                0.48838,                0.40342,                0.97755,                0.99621,                      1,                  0.995,                0.90949,                0.40945,                0.24205,                 0.9307,             0.00091617,             0.00091617,             0.00091617
                    147,                0.48585,                0.39931,                 0.9788,                 0.9899,                0.98858,                0.99494,                0.91596,                0.40135,                0.24468,                0.94721,             0.00091263,             0.00091263,             0.00091263
                    148,                0.49936,                0.40493,                0.99027,                0.99814,                0.99973,                  0.995,                0.91183,                0.41478,                0.25158,                0.96183,             0.00090909,             0.00090909,             0.00090909
                    149,                0.53111,                0.41556,                0.98787,                0.99444,                      1,                  0.995,                0.90665,                0.41798,                0.26252,                0.95742,             0.00090556,             0.00090556,             0.00090556
